contigName	contigLen	totalAvgDepth	MA_sorted.bam	MA_sorted.bam-var	MB_sorted.bam	MB_sorted.bam-var	MC_sorted.bam	MC_sorted.bam-var	MD_sorted.bam	MD_sorted.bam-var
bin00.contig0145	3180	16538.1	4056.92	26569.2	4045.12	41075	4016.51	41915.3	4419.55	50680.2
bin00.contig0146	3139	6169.86	1413.55	18674.6	2035.18	34226.1	840.754	7189.97	1880.38	39197.2
bin00.contig0147	2965	7430.38	1785.76	44442.8	2195.36	43796.7	1313.68	220253	2135.58	26569.2
bin00.contig0148	2804	8299.98	1995.72	49902.9	2447.85	24823.3	1517.86	220977	2338.56	13316
bin00.contig0149	2709	5151.09	1178.77	137776	1658.57	291781	725.338	54264.7	1588.41	256702
bin00.contig0150	2583	6668.78	1601.52	111148	1790.76	105089	1445.5	141968	1831.01	108775
bin00.contig0151	2463	7162.22	1647.08	3677.65	2349.66	9696.63	952.012	2393.99	2213.47	11503.5
bin00.contig0152	2411	6281.03	1447.63	88637.9	1895.02	85714.3	1078.76	146610	1859.62	93680.5
bin00.contig0153	2393	6550.58	1521.42	11610.1	2143.67	20943.7	880.066	5299.84	2005.43	20388.7
bin00.contig0154	2136	3245.93	706.661	31628.7	1069.05	50555.8	421.067	15055.6	1049.15	52725.6
bin00.contig0155	2034	7705.47	1833.12	441608	2410.84	832087	1153.98	167405	2307.54	669455
bin00.contig0156	1903	6035.25	1455.63	46265.6	1784.65	37889.6	1098.32	74541.2	1696.66	37379.3
bin00.contig0157	1773	16100.7	3962.98	30910.2	4002.8	32782.4	3877.32	42808.6	4257.55	45635.6
bin00.contig0158	1712	22002.7	5256.97	665372	5743.8	641090	5153.87	775819	5848.01	747069
bin00.contig0159	1692	11682.8	2741.92	255882	3513.72	336315	2031.34	233086	3395.78	346586
bin00.contig0160	1660	5626.49	1343.51	89724.8	1812.64	168321	766.453	33708.3	1703.9	151052
bin00.contig0161	1632	42603.8	10036.4	200033	13708.7	373774	5731.7	47674	13126.9	344293
bin00.contig0162	1589	6911.2	1685.31	13455.9	2213.94	16599.5	951.204	7341.59	2060.75	13254.2
bin00.contig0163	1589	6502.29	1564.5	10681.4	2096.93	27286.9	875.935	6820.59	1964.92	13225.9
bin00.contig0164	1521	6458.92	1573.02	105904	1799.74	140210	1402.01	131849	1684.15	119955
bin00.contig0165	1478	17464.8	4232.05	1.93577e+06	4567.73	1.88341e+06	3928.25	2.62897e+06	4736.78	2.11066e+06
bin00.contig0166	1453	14598	3458.37	120694	4186.94	186989	2851.22	74203.9	4101.44	164137
bin00.contig0167	1445	7269.33	1709.43	23687	2350.87	34260.7	1033.97	34389.3	2175.06	28445
bin00.contig0168	1409	6163.41	1409.26	128103	2047.83	274691	826.771	50713.8	1879.56	234747
bin00.contig0169	1364	4896.03	1158.71	97098.9	1536.88	193587	683.925	37336.2	1516.52	168145
bin00.contig0170	1306	19634.2	4890.75	55683.1	4163.79	48549	5961.81	75848.2	4617.9	55549.6
bin00.contig0171	1278	276.293	53.648	1526.68	121.795	7891.87	15.2137	167.643	85.6365	4184.7
bin00.contig0172	1227	81617.7	19157.6	1.83595e+06	26643.5	4.73721e+06	10963.4	505953	24853.2	3.57911e+06
bin00.contig0173	1197	7608.02	1751.72	12519.9	2535.38	18562.3	1022.09	5111.83	2298.83	23533.7
bin00.contig0174	1163	7356.3	1773.04	66555.7	2011.3	40239.4	1595.58	126901	1976.38	45277.3
bin00.contig0175	1133	70678.8	16859.2	351691	22210.4	743291	10378.8	206455	21230.4	684849
bin00.contig0176	1127	52085.9	12388.6	241700	16883.3	496209	6863.97	66499.6	15950	341784
bin00.contig0177	1118	8013.88	1914.46	54906.8	2299.14	18635.9	1576.73	160055	2223.55	35537.7
bin00.contig0178	1068	57496.5	13352.1	232679	18947.6	611203	7778.32	78922.2	17418.5	501365
bin00.contig0179	1027	12634.5	3020.56	80908.4	4087.24	167686	1708.51	24971.4	3818.19	132836
bin00.contig0180	998	5909.08	1385.83	97271.2	1939.98	197545	797.27	30041.5	1786	191359
bin00.contig0181	980	5082.27	1185.08	37155.7	1608.61	51199.7	688.259	13531.7	1600.32	47897.7
bin00.contig0182	957	7885.22	1958.96	63397.6	2111.99	43678.9	1753.15	128671	2061.12	52036.8
bin00.contig0183	946	3990.14	974.485	248691	1194.05	375489	674.172	152744	1147.43	346694
bin00.contig0184	938	6457.34	1555.79	10095.5	2116.37	8733.05	880.778	2196.14	1904.4	3920.88
bin00.contig0185	936	6729.14	1580.57	22765.2	2166.32	40634	921.392	10752.6	2060.87	35366.7
bin00.contig0186	903	27249.7	6414.94	5.16991e+06	8927.41	1.01128e+07	3734.41	1.7686e+06	8172.99	8.46736e+06
bin00.contig0187	877	5998.42	1401.39	84117.1	1621.73	130822	1347.26	101855	1628.04	116899
bin00.contig0188	864	1098.85	232.871	56982.5	373.836	65929.8	182.987	55814.8	309.157	67869
bin00.contig0189	854	5016.16	1188.72	18418.9	1633.93	21953.4	693.339	5603.24	1500.18	24466.9
bin00.contig0190	840	6239.76	1491.95	14240.7	2028.38	28840.7	855.193	6983.73	1864.24	27802.5
bin00.contig0191	835	5300.53	1232.49	18069.5	1747.07	43527.9	725.365	4951.02	1595.59	26766.1
bin00.contig0192	771	7125.47	1662.49	29427.1	2327.77	57588.9	986.638	10373.7	2148.57	60139.4
bin00.contig0193	721	4723.57	1094.73	38724.8	1508.31	76378	658.662	13086.3	1461.87	66049.9
bin00.contig0194	714	7009.78	1637.93	6751.71	2275.23	7810.88	960.324	1916.64	2136.31	9106.42
bin00.contig0195	695	21292.3	5303.33	6.00026e+06	4514.77	2.13944e+06	6429.39	1.58448e+07	5044.85	3.69525e+06
bin00.contig0196	695	244.916	57.8881	98.1658	89.567	368.592	27.6128	28.5466	69.8477	107.743
bin00.contig0197	695	80.0899	16.8771	20.9058	28.6532	15.6681	11.4606	7.37758	23.0991	33.9387
bin00.contig0198	678	4007.03	960.087	107403	1123.34	227776	740.345	73313.2	1183.26	192018
bin00.contig0199	638	11692.1	2802.49	573401	3203.06	456672	2347.23	872784	3339.34	663927
bin00.contig0200	616	1089.71	270.064	8295.96	338.678	16104.3	152.358	2158.22	328.607	17597.5
bin00.contig0201	611	6291.55	1512.66	18850.1	1822.35	49580.9	1029.11	35213.9	1927.43	36309.4
bin00.contig0202	521	5796.94	1376.44	7095.98	1894.24	14615.5	781.922	4075.2	1744.33	8589.82
bin00.contig0203	517	5833.27	1343.9	20341.6	1909.16	27565.2	793.815	6679.9	1786.4	28507.3
bin00.contig0204	517	11043.2	2622.58	662212	2900.03	418235	2422.31	1.27091e+06	3098.3	555363
bin00.contig0205	497	8028.86	1965.29	120179	2499.84	190643	1167.96	53272.9	2395.77	167896
bin00.contig0206	477	3428.81	783.028	19342.5	1033.13	148026	589.795	7176.96	1022.86	69197.4
