#taxon	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Belliella;s__Belliella-pelovolcani	1	0.02	1103.18	0.00	204.86	0.00	474.32	0.01	72.28	0.00	351.72	0.00
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Phormidesmis;	1	0.02	6474.57	0.02	1532.49	0.02	1998.36	0.02	1042.57	0.02	1901.16	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis-wesenbergii	1	0.02	6830.40	0.02	1607.22	0.02	2078.16	0.02	1157.84	0.03	1987.17	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Neosynechococcales;f__Neosynechococcaceae;g__GCF-001939115;	6	0.14	39503.64	0.14	9298.88	0.14	12017.47	0.14	6593.65	0.14	11593.67	0.14
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Synechococcus_A;s__Synechococcus_A-lividus	1	0.02	6457.71	0.02	1531.97	0.02	1934.38	0.02	1081.78	0.02	1909.58	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Phormidesmis;s__Phormidesmis-priestleyi	4	0.09	25474.18	0.09	5984.92	0.09	7877.37	0.09	4015.42	0.09	7596.46	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__LE011-02;s__LE011-02-sp1	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;	1	0.02	6616.77	0.02	1567.67	0.02	1995.30	0.02	1133.10	0.02	1920.70	0.02
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA1943;	1	0.02	3019.32	0.01	566.61	0.01	1293.16	0.02	190.57	0.00	968.99	0.01
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__PCC-10802;	1	0.02	6667.22	0.02	1562.82	0.02	2006.21	0.02	1137.22	0.02	1960.97	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fischerella;s__Fischerella-sp1	1	0.02	6615.35	0.02	1552.83	0.02	2030.94	0.02	1095.93	0.02	1935.65	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__Aliterella;s__Aliterella-atlantica	2	0.05	11647.78	0.04	2723.09	0.04	3565.23	0.04	1899.42	0.04	3460.05	0.04
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix_A;s__Calothrix_A-rhizosoleniae	1	0.02	6402.18	0.02	1519.72	0.02	2029.19	0.02	939.16	0.02	1914.10	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__PCC-9228;	2	0.05	12440.45	0.04	2943.95	0.04	3821.13	0.04	1994.34	0.04	3681.04	0.04
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Trichodesmium;s__Trichodesmium-erythraeum	2	0.05	12249.07	0.04	2870.03	0.04	3808.63	0.04	1903.74	0.04	3666.66	0.04
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__Spirulina;s__Spirulina-subsalsa	23	0.53	145820.42	0.52	34556.27	0.52	44638.10	0.52	23908.20	0.52	42717.88	0.52
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodovibrio;	1	0.02	6744.42	0.02	1611.19	0.02	1950.91	0.02	1224.82	0.03	1957.50	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;	1	0.02	6667.22	0.02	1562.82	0.02	2006.21	0.02	1137.22	0.02	1960.97	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__UBA999;	1	0.02	6468.14	0.02	1521.00	0.02	1981.51	0.02	1053.82	0.02	1911.80	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__PCC-6406;	17	0.39	112649.48	0.40	26564.01	0.40	34432.47	0.40	18151.60	0.39	33501.32	0.41
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;	1	0.02	6379.79	0.02	1499.08	0.02	1958.78	0.02	1040.21	0.02	1881.72	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis-aeruginosa_B	1	0.02	6521.33	0.02	1532.85	0.02	1979.57	0.02	1085.55	0.02	1923.36	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Rivularia;	1	0.02	6142.66	0.02	1451.93	0.02	1823.46	0.02	1110.63	0.02	1756.64	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Calothrix_B;	3	0.07	19432.18	0.07	4581.00	0.07	5938.09	0.07	3163.29	0.07	5749.81	0.07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Dyadobacter;	1	0.02	1103.18	0.00	204.86	0.00	474.32	0.01	72.28	0.00	351.72	0.00
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Nodosilinea;	4	0.09	27250.88	0.10	6517.08	0.10	7867.27	0.09	5160.37	0.11	7706.15	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__Pseudanabaena-biceps	4	0.09	25939.54	0.09	6117.17	0.09	8031.14	0.09	4139.08	0.09	7652.17	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Cyanothece_B;	2	0.05	6514.79	0.02	1540.12	0.02	1980.85	0.02	1069.43	0.02	1924.39	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae_A;g__Phormidium;s__Phormidium-ambiguum	1	0.02	6277.36	0.02	1469.63	0.02	1899.67	0.02	1042.78	0.02	1865.28	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Crinaliaceae;g__Crinalium;s__Crinalium-epipsammum	1	0.02	6743.19	0.02	1602.01	0.02	2210.52	0.03	915.21	0.02	2015.46	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Acaryochloris;	1	0.02	57496.50	0.21	13352.10	0.20	18947.60	0.22	7778.32	0.17	17418.50	0.21
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__Spirulina;s__Spirulina-major	5	0.11	107601.09	0.38	25313.42	0.38	34483.58	0.40	15327.67	0.33	32476.41	0.39
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__Lentimicrobium-saccharophilum	1	0.02	1525.10	0.01	279.04	0.00	675.09	0.01	98.44	0.00	472.53	0.01
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Limnotrichales;f__Limnotrichaceae;g__Limnothrix;	3	0.07	13660.57	0.05	3248.80	0.05	4081.21	0.05	2384.99	0.05	3945.57	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__ESFC-1;	4	0.09	25188.01	0.09	5934.42	0.09	7765.84	0.09	4034.16	0.09	7453.59	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Tolypothrix_C;	2	0.05	12748.25	0.05	3029.12	0.05	3811.75	0.04	2188.64	0.05	3718.73	0.05
UNKNOWN	267	6.14	1702984.81	6.08	402286.35	6.08	520163.35	6.09	280400.09	6.08	500134.97	6.07
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Lyngbya;s__Lyngbya-aestuarii	2	0.05	13284.40	0.05	3124.72	0.05	4165.72	0.05	2092.12	0.05	3901.86	0.05
d__Bacteria;p__Elusimicrobiota;c__UBA5214;o__UBA5214;f__UBA5214;g__UBA5214;	1	0.02	6591.63	0.02	1564.01	0.02	1968.53	0.02	1155.33	0.03	1903.76	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Tychonema;s__Tychonema-bourrellyi	2	0.05	13044.38	0.05	3082.08	0.05	4112.05	0.05	1985.22	0.04	3865.03	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fischerella;	1	0.02	6591.63	0.02	1564.01	0.02	1968.53	0.02	1155.33	0.03	1903.76	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Planktothrix;s__Planktothrix-rubescens	2	0.05	13578.56	0.05	3223.33	0.05	4084.21	0.05	2289.19	0.05	3981.83	0.05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;	1	0.02	6402.18	0.02	1519.72	0.02	2029.19	0.02	939.16	0.02	1914.10	0.02
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__Woeseia;s__Woeseia-oceani	1	0.02	6642.20	0.02	1562.36	0.02	2082.86	0.02	1046.06	0.02	1950.93	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Cyanobacterium;s__Cyanobacterium-stanieri	1	0.02	6691.63	0.02	1596.18	0.02	2076.68	0.02	1046.64	0.02	1972.13	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Planktothricoides;	17	0.39	109439.36	0.39	26061.58	0.39	32032.21	0.38	19818.88	0.43	31526.71	0.38
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera-watsonii	1	0.02	22002.70	0.08	5256.97	0.08	5743.80	0.07	5153.87	0.11	5848.01	0.07
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Chamaesiphonaceae;g__Chamaesiphon;s__Chamaesiphon-minutus	1	0.02	10105.10	0.04	2393.99	0.04	3186.23	0.04	1564.82	0.03	2960.03	0.04
