#Taxon	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	1	0.38	48.05	0.11	9.28	0.15	1.64	0.04	28.81	0.10	8.33	0.13
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast	4	1.54	27.01	0.06	0.62	0.01	0.00	0.00	26.40	0.10	0.00	0.00
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobaca	4	1.54	1903.28	4.28	78.95	1.31	87.73	1.97	1626.22	5.86	110.38	1.78
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae	1	0.38	59.36	0.13	5.11	0.08	0.00	0.00	54.26	0.20	0.00	0.00
Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales	6	2.31	2153.31	4.85	185.21	3.07	336.12	7.54	1217.58	4.39	414.41	6.67
Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae	1	0.38	427.31	0.96	107.80	1.79	94.29	2.11	45.40	0.16	179.82	2.89
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	2	0.77	102.39	0.23	10.22	0.17	0.45	0.01	88.56	0.32	3.16	0.05
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	2	0.77	50.75	0.11	32.80	0.54	2.58	0.06	13.84	0.05	1.53	0.02
Bacteria;Firmicutes;Clostridia;Clostridiales	3	1.15	359.56	0.81	71.32	1.18	18.57	0.42	243.26	0.88	26.41	0.43
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales	2	0.77	139.62	0.31	33.28	0.55	18.63	0.42	63.86	0.23	23.85	0.38
Eukaryota;Opisthokonta;Nucletmycea;Fungi	1	0.38	11.11	0.02	1.66	0.03	0.85	0.02	8.15	0.03	0.44	0.01
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae	1	0.38	28.66	0.06	2.88	0.05	1.04	0.02	22.32	0.08	2.43	0.04
Bacteria;Proteobacteria;Deltaproteobacteria	1	0.38	77.38	0.17	35.97	0.60	15.90	0.36	9.82	0.04	15.68	0.25
Bacteria;Actinobacteria;Actinobacteria;Micrococcales	3	1.15	65.79	0.15	10.07	0.17	0.23	0.01	55.27	0.20	0.23	0.00
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	1	0.38	6.54	0.01	0.00	0.00	0.00	0.00	6.54	0.02	0.00	0.00
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Salipaludibacillus	1	0.38	1240.90	2.79	131.86	2.18	3.16	0.07	1093.58	3.94	12.29	0.20
